# i j cov
# order is xi+_0,xi+_1,...,xi-_0,xi-_1,.... from small scales to large in each
# tomo bins are in c order (i.e. 0,0 0,1 0,2 1,0 1,2 2,2) w/ internal order as above
0 0 2.20404780193153215589e-10
0 1 2.66754792287033818159e-12
0 2 3.16312387021990274311e-12
0 3 2.13464780873210410519e-13
0 4 -1.85398331880395977943e-14
0 5 -1.07047633116486406240e-14
0 6 1.86641031416008421994e-11
0 7 1.53237488497736426641e-11
0 8 1.70484577707301209076e-12
0 9 2.86285169102031653200e-12
0 10 3.27632151619405642316e-13
0 11 7.01739065524160566854e-13
0 12 4.27794057206181320026e-11
0 13 1.42706787118654797676e-11
0 14 8.19177227718562851623e-12
0 15 -2.37837482388648081530e-14
0 16 5.19705290159557042510e-13
0 17 1.24825523990990584762e-13
0 18 -2.71318269142575303493e-12
0 19 -4.73094496417639790516e-12
0 20 3.17912636110080655137e-12
0 21 1.80854738375416905023e-12
0 22 1.53439439061876575025e-12
0 23 4.44814871951829534098e-13
0 24 1.29194979740067169090e-11
0 25 1.39718868421445273991e-11
0 26 1.14834497762886558886e-12
0 27 2.36972068451838276766e-13
0 28 -6.62603930404068046459e-13
0 29 3.60685824149506327868e-13
0 30 -3.73658558773061558419e-12
0 31 -9.19526136610599746792e-12
0 32 1.36623600322749856047e-12
0 33 2.30192526864566292135e-12
0 34 1.14238849990909766176e-12
0 35 8.64106153452839526734e-13
0 36 1.26717865348801744954e-11
0 37 8.13088681903614500057e-12
0 38 6.50528909787938913974e-12
0 39 2.45387626981749567238e-12
0 40 3.44763832127072717463e-12
0 41 1.12282396502078689386e-13
0 42 -5.69693314541880784331e-12
0 43 1.25360006121368425173e-11
0 44 -9.88946521653277279442e-13
0 45 1.27513014782992531343e-12
0 46 2.50295687558185156881e-12
0 47 1.38207035071228993780e-12
0 48 2.41706422260372818243e-11
0 49 9.86688134855319974698e-12
0 50 5.91772499058600609283e-12
0 51 4.79918413905387263357e-12
0 52 2.21981758306698677505e-12
0 53 5.44601682370790219307e-14
0 54 1.44851188895881465139e-11
0 55 3.44899544345912478578e-12
0 56 2.99772459678082520643e-12
0 57 2.94667034401004450199e-12
0 58 8.77477440286041488859e-13
0 59 9.84559349378525256844e-13
0 60 4.54836382547368167090e-12
0 61 1.74969585740890033142e-11
0 62 8.43350240504691097182e-12
0 63 1.74649549672458318883e-12
0 64 3.37879879889435619906e-12
0 65 -1.38717147558543185666e-13
0 66 2.78853892677293233143e-11
0 67 7.35315394872448495443e-12
0 68 -1.89359450610634606980e-13
0 69 4.65245325261107304068e-12
0 70 1.98940888536088535497e-12
0 71 1.80437033241613084785e-13
1 0 2.66754792287033818159e-12
1 1 4.50676338291479610741e-11
1 2 2.55096401715024316095e-12
1 3 2.12585445006950661578e-12
1 4 7.38420448732940101107e-13
1 5 5.22078764770814976920e-13
1 6 -4.16457500553082235357e-12
1 7 6.59397818958756425809e-12
1 8 -1.26111950333675964855e-12
1 9 -6.88936783695881033928e-14
1 10 -4.48021128421971106236e-13
1 11 4.29885907531701877956e-13
1 12 4.08206560860941746667e-12
1 13 5.86026858201386112618e-12
1 14 3.23704888628501909128e-12
1 15 1.12802032033313953657e-12
1 16 1.06437819128076946316e-12
1 17 6.92308501806441034289e-13
1 18 3.43579342991157775007e-12
1 19 -2.46911363983499641917e-13
1 20 7.95065505011391034438e-13
1 21 1.28829966938569605971e-12
1 22 6.00882089460102662636e-13
1 23 5.36814026883300638149e-13
1 24 1.54938868897548682486e-11
1 25 6.28979810321158914244e-12
1 26 6.19701355126087538169e-12
1 27 1.14435223538119437503e-12
1 28 1.02288667051103782966e-12
1 29 6.94219040391984873358e-13
1 30 1.05444591618727854603e-11
1 31 3.87948426830785841724e-12
1 32 1.70813504414349462005e-13
1 33 2.73262295623094254693e-13
1 34 7.28551658416397643830e-13
1 35 4.95792974180737432094e-13
1 36 1.54539871637122392928e-11
1 37 1.11792372760575996629e-12
1 38 2.76416173769037755748e-12
1 39 -1.43158329745040082877e-13
1 40 5.86684807750803533292e-13
1 41 7.22408763802900281987e-13
1 42 1.23192852275177804433e-11
1 43 5.60557763167151968538e-12
1 44 1.79730388934176938111e-12
1 45 3.49259056305970177123e-13
1 46 3.27163956677937076649e-13
1 47 2.90291054014378364577e-13
1 48 5.30820808730685631925e-12
1 49 5.70610410282907526390e-12
1 50 3.12662499855100566661e-12
1 51 8.46411834915028451450e-13
1 52 1.17011700315981757172e-12
1 53 7.20782185712202622036e-13
1 54 8.19518070810095599200e-12
1 55 4.37188737277978257534e-12
1 56 5.74629394050731649015e-13
1 57 1.72479784024186487130e-12
1 58 6.38708328927170269440e-13
1 59 6.03076082721976231134e-13
1 60 1.67698754503473074385e-11
1 61 1.73641695291417228540e-12
1 62 3.73585802525844614819e-12
1 63 1.28781905066267397407e-12
1 64 2.54361177331796661267e-13
1 65 3.84116336435045744017e-13
1 66 5.22794418130011856930e-12
1 67 6.81985427030116530028e-12
1 68 1.80765715958355379026e-12
1 69 5.37505813595268622018e-13
1 70 1.16297228712149272280e-12
1 71 5.51076814652313541612e-13
2 0 3.16312387021990274311e-12
2 1 2.55096401715024316095e-12
2 2 1.11653396469961420338e-11
2 3 9.16851018641334052738e-13
2 4 5.42764371351596722608e-13
2 5 -2.88740455027742296466e-14
2 6 5.10658109620125549794e-13
2 7 9.03469213210485174857e-13
2 8 8.35591138976705359076e-14
2 9 -1.74621419788678844055e-13
2 10 1.89072196720346838240e-13
2 11 6.33175885444873284975e-14
2 12 1.02673122775753176845e-11
2 13 1.08513686446212609601e-12
2 14 3.02491512018395374920e-12
2 15 6.27877019140284090670e-13
2 16 6.52149112106717518579e-13
2 17 -4.07166416321860812824e-14
2 18 2.38917195679497563306e-12
2 19 -1.84372287960837565072e-12
2 20 1.45641950281326290426e-13
2 21 1.02508154691143481655e-13
2 22 4.25929462808995858656e-13
2 23 2.42191891560372324631e-13
2 24 6.60467055757743958119e-12
2 25 2.71626796151826155002e-12
2 26 3.39874323191431828482e-12
2 27 1.20316707553361948352e-12
2 28 5.01396968409459103311e-13
2 29 -8.05908775822196686085e-15
2 30 1.74599065277241930095e-12
2 31 1.70538294323191496422e-12
2 32 8.08577706373186663589e-13
2 33 3.59201886708610047895e-13
2 34 4.18124391858245109729e-13
2 35 2.47838642561831999244e-13
2 36 -2.94868165137391999302e-12
2 37 5.03057376424273686188e-12
2 38 -2.94157835800785324592e-13
2 39 9.14234056187907687283e-13
2 40 4.13676942789709561084e-13
2 41 -2.48709313914671975179e-13
2 42 -1.65847845546987289298e-12
2 43 -1.01969391766261404480e-12
2 44 -1.24237101302920108053e-13
2 45 -5.12649522675909821099e-13
2 46 2.31527311662424182365e-13
2 47 4.77556032871711893196e-13
2 48 4.92276951085685635839e-12
2 49 1.40872842144936467785e-12
2 50 1.19373043051757988384e-12
2 51 9.25928512693570384236e-13
2 52 3.37422641152897639585e-13
2 53 -2.41376290004627068213e-13
2 54 -5.84437098767637933304e-13
2 55 -1.71074666848647618180e-12
2 56 1.96713882906559893584e-12
2 57 7.48357992956528670568e-14
2 58 2.11143787472800416578e-13
2 59 5.06248984378127279936e-13
2 60 -3.98994075067768335728e-12
2 61 2.68757244769602959426e-12
2 62 7.38272486104199021682e-13
2 63 1.34594966408087477237e-12
2 64 1.09497103812173484974e-13
2 65 -2.80307472750749552960e-13
2 66 2.06307835892251412251e-12
2 67 1.67642699206888812339e-12
2 68 -1.63328545549068445045e-13
2 69 8.14501165769974387594e-13
2 70 6.97035895300605370907e-13
2 71 3.53108473790178404336e-13
3 0 2.13464780873210410519e-13
3 1 2.12585445006950661578e-12
3 2 9.16851018641334052738e-13
3 3 2.77699416133085476755e-12
3 4 3.32082243751754595676e-13
3 5 3.40281629273501426506e-14
3 6 3.56284175132540465604e-12
3 7 6.70607479858415604610e-13
3 8 5.40101327967162539244e-13
3 9 -6.75704663412269602587e-14
3 10 8.36384749282874483908e-15
3 11 1.54212610937076235441e-13
3 12 3.58806566258328311074e-12
3 13 1.05207584713079411557e-12
3 14 1.23571367197994752199e-12
3 15 9.96106250940199959295e-13
3 16 2.78072210740874775565e-13
3 17 1.65356968316336130861e-13
3 18 1.48022336430351914596e-12
